id,name,sex,score,24년 학급,클럽,좋은관계,나쁜관계,Leadership,Piano,비등교,운동선호
202501,Andy,boy,90,a,노래,202502,202503,,,,
202502,Briada,girl,51,b,댄스,,,,yes,,
202503,Charlie,boy,91,c,야구,,,yes,,,yes
202504,Kevin W,boy,60,f,미술,,202677,,,,
202505,Matthew G,boy,96,f,댄스,,,,,yes,
202506,Kimberly T,girl,72,f,밴드,202517,,,,,
202507,Joshua H,boy,63,b,축구,,,,,,
202508,Jessica J,girl,95,c,밴드,,,,,,
202509,Jennifer H,girl,98,d,야구,,202536,,yes,,
202510,John G,boy,68,a,코딩,,,,,,
202511,Jessica S,girl,64,c,코딩,,,,,,yes
202512,Lauren S,girl,88,b,미술,,,,,,
202513,Robert B,boy,98,b,연극,,,,,,
202514,Emily G,girl,94,d,봉사,,,,,,
202515,Ashley B,girl,81,a,봉사,,202502,,,yes,
202516,Justin J,boy,96,e,독서,,,,,,yes
202517,Robert B,boy,93,a,코딩,,,,,,
202518,Andrew J,boy,71,b,야구,,,,,,yes
202519,Emily M,girl,61,f,축구,,,,,,yes
202520,Lauren G,girl,83,a,댄스,,,,,,
202521,Jennifer M,girl,74,a,연극,,202568,yes,,,
202522,Ryan T,boy,68,c,미술,,,yes,,,yes
202523,Brandon G,boy,97,a,연극,,,,yes,yes,
202524,Lauren J,girl,67,e,미술,,,,yes,,
202525,John M,boy,64,d,독서,,,,,,
202526,Joshua S,boy,76,b,밴드,,,,,,
202527,James T,boy,96,a,미술,,,,,,
202528,Daniel G,boy,75,d,야구,,,,,,
202529,Chris M,boy,95,a,야구,,,,yes,,
202530,John S,boy,60,f,밴드,,,,,,
202531,Jennifer S,girl,77,f,봉사,,,,,,
202532,David G,boy,81,e,연극,,,,,,
202533,Kevin J,boy,72,b,댄스,,,,,,
202534,Nicholas W,boy,98,f,봉사,,,,yes,,
202535,Jennifer W,girl,83,f,코딩,,,,yes,,
202536,Robert M,boy,61,c,독서,,,,,,
202537,Matthew H,boy,83,f,코딩,,,,,yes,
202538,Chris J,boy,81,b,축구,,,,,,
202539,Robert M,boy,77,a,밴드,,,,,,
202540,Emily W,girl,93,c,댄스,,,,yes,,
202541,Lauren M,girl,65,c,밴드,,,,,,
202542,Ryan M,boy,97,f,축구,,,yes,,,
202543,Justin T,boy,79,f,축구,,,,,,
202544,Jennifer L,girl,75,f,댄스,,,,,,
202545,William G,boy,97,e,미술,,,yes,,yes,
202546,David M,boy,69,e,축구,,,,,,
202547,Brian J,boy,98,d,야구,,,,,,yes
202548,David W,boy,90,c,독서,,,,,,
202549,Daniel D,boy,76,d,코딩,,,,,,
202550,Daniel J,boy,62,e,봉사,,,,,,
202551,David G,boy,67,b,독서,,,,,,
202552,Matthew D,boy,64,f,미술,,,,,,
202553,Michael B,boy,90,d,축구,,,,,,yes
202554,Lauren D,girl,95,b,연극,,,,yes,,
202555,Ashley S,girl,89,e,야구,,,,yes,yes,
202556,Kevin D,boy,78,c,노래,,,,,,
202557,James G,boy,84,c,노래,,,,,,yes
202558,Kevin D,boy,66,b,밴드,,,,,,yes
202559,David J,boy,63,c,코딩,,,,,yes,
202560,Kevin M,boy,92,e,미술,,,,,,
202561,James M,boy,62,d,봉사,,,,,,
202562,Justin J,boy,78,f,코딩,202545,202619,,,,
202563,Ashley M,girl,98,f,밴드,,,,,yes,
202564,Joseph M,boy,75,b,연극,,,,,,
202565,Chris G,boy,71,c,미술,,,,,,
202566,Brandon B,boy,93,d,미술,,,,,,
202567,Justin R,boy,69,b,노래,,,,,,
202568,William J,boy,93,d,봉사,,202521,,,,
202569,Sarah H,girl,91,e,연극,202682,,,,,
202570,James T,boy,94,d,연극,,,,,,
202571,John H,boy,71,d,미술,,,,yes,,
202572,Kimberly M,girl,82,b,노래,,,,,,
202573,Kimberly J,girl,64,f,봉사,,,,,,
202574,Michael G,boy,62,d,축구,,,,,,
202575,Brian D,boy,84,c,축구,,,yes,,,
202576,James S,boy,62,e,댄스,,,,yes,,
202577,Stephanie J,girl,88,c,밴드,,202650,,,,
202578,Jessica J,girl,97,d,독서,,,,yes,,
202579,Jennifer J,girl,66,a,밴드,,,,,,
202580,Robert H,boy,95,c,연극,,,,,,
202581,Ryan R,boy,62,d,연극,,,,,,
202582,Ashley W,girl,93,d,야구,,,,,,
202583,Lauren J,girl,85,e,독서,,,,,,
202584,Emily H,girl,82,b,코딩,,,,,,
202585,David B,boy,62,f,노래,,,yes,,,
202586,Joshua R,boy,77,d,독서,,,,,,
202587,Stephanie D,girl,92,e,독서,202678,,,,yes,
202588,James R,boy,83,b,미술,,,,,,
202589,Chris G,boy,83,e,야구,,,yes,,,
202590,Matthew M,boy,88,d,코딩,,,,,,
202591,Nicole S,girl,63,e,축구,,,,,,
202592,Joshua L,boy,84,c,야구,202613,,yes,,yes,
202593,Brian B,boy,73,c,연극,202632,,,,,
202594,Stephanie J,girl,68,e,댄스,,,,,,
202595,Justin H,boy,75,a,코딩,,,,,,
202596,Matthew J,boy,95,a,미술,202634,,,,,
202597,Nicholas S,boy,93,c,노래,,,,,,
202598,Emily M,girl,72,f,코딩,202588,202517,,,,
202599,Kimberly T,girl,72,d,댄스,,,,,,
202600,Joshua T,boy,84,d,독서,,,,,,
202601,Emily M,girl,75,b,연극,,202621,,,,
202602,Jessica D,girl,84,a,연극,,,,,,
202603,Ryan T,boy,82,b,축구,,,,,,
202604,Jessica W,girl,81,a,봉사,,,,,,
202605,Kevin M,boy,98,c,미술,,,,,,
202606,David G,boy,99,c,축구,,,,,,
202607,Michael M,boy,81,f,축구,,,,,,
202608,Joshua J,boy,72,d,봉사,,,,,,
202609,Ryan B,boy,73,d,댄스,,,,yes,,
202610,Daniel M,boy,60,f,봉사,,,,,,
202611,Brian M,boy,74,f,미술,,,yes,,,
202612,Michael M,boy,66,b,야구,,,,,,
202613,Justin W,boy,85,b,코딩,,,,,,
202614,Stephanie D,girl,84,e,연극,,202613,yes,,,
202615,Kimberly T,girl,93,c,미술,202670,,,,,
202616,Brian M,boy,65,d,야구,,,,,,
202617,Brandon M,boy,85,c,연극,,,,,,
202618,Robert M,boy,98,d,미술,,,,,,
202619,Joseph T,boy,84,f,밴드,,,,,,
202620,Ashley G,girl,81,c,미술,,,,,,
202621,Amanda T,girl,71,b,야구,,202601,,,,
202622,Justin D,boy,78,a,축구,,,,,,
202623,Ashley T,girl,94,d,노래,,,,,,
202624,Lauren S,girl,63,f,연극,,,,yes,,
202625,Nicholas J,boy,68,a,코딩,,,,,,
202626,Robert M,boy,70,e,야구,,,,,,
202627,Joseph L,boy,83,a,노래,,,,,,
202628,David J,boy,64,c,야구,202687,,,,,
202629,William M,boy,89,e,축구,,202639,yes,,,
202630,Jennifer L,girl,70,c,밴드,202611,,,,,
202631,Matthew M,boy,63,e,댄스,,,,,,
202632,Andrew L,boy,98,a,노래,,,,,,yes
202633,Michael J,boy,80,d,댄스,,,,,,
202634,Justin L,boy,88,b,봉사,202596,,,,,
202635,Brandon B,boy,77,c,댄스,,,,,,
202636,Robert M,boy,94,e,노래,,,yes,,,yes
202637,Robert H,boy,72,f,봉사,,,,,yes,
202638,Michael S,boy,60,f,독서,,,,,,
202639,Matthew J,boy,87,d,봉사,,,,,,
202640,Lauren G,girl,73,b,댄스,,,,,,
202641,Matthew H,boy,97,b,연극,,,,yes,yes,
202642,Chris W,boy,74,a,야구,,,,,,
202643,Brian J,boy,74,b,축구,,,,,,
202644,Joshua S,boy,78,a,야구,202657,,,,,yes
202645,James D,boy,87,c,댄스,,,,,,
202646,Kimberly G,girl,60,c,노래,,,,,,
202647,Brian T,boy,62,b,댄스,202660,,,,,
202648,Jessica J,girl,61,d,연극,,,,yes,,
202649,Matthew J,boy,77,b,밴드,,,,,,
202650,James G,boy,91,f,축구,,,,,,
202651,David W,boy,92,e,미술,,,,,,
202652,Chris W,boy,81,a,독서,,,,,,
202653,Joseph L,boy,76,c,밴드,,,,,,
202654,Joseph M,boy,72,b,노래,,,,,yes,
202655,Andrew J,boy,91,d,밴드,,,,,,
202656,Jessica M,girl,62,a,독서,,,,yes,,
202657,Sarah R,girl,65,c,야구,,,yes,,,
202658,Amanda G,girl,61,e,연극,,202641,,,,
202659,Brandon G,boy,79,f,축구,,,,,,
202660,Nicholas T,boy,66,f,노래,202647,,yes,,,
202661,Robert B,boy,77,a,댄스,,,,,,
202662,Matthew M,boy,96,f,밴드,,,,,,
202663,Jessica R,girl,79,a,코딩,,,,,,
202664,Joseph J,boy,62,a,노래,,,,,,
202665,Kevin J,boy,78,b,봉사,,,,,,yes
202666,Jessica M,girl,80,a,봉사,,,,,,
202667,Michael J,boy,92,d,댄스,,,,,,
202668,Jessica S,girl,67,b,독서,,,,,,
202669,Chris T,boy,77,a,야구,,,,,,
202670,Joshua G,boy,77,a,연극,202615,,,,yes,
202671,Ryan T,boy,64,c,봉사,,,,,,
202672,Robert W,boy,91,a,독서,,,,,,
202673,Matthew M,boy,85,b,연극,,,,,yes,yes
202674,Emily W,girl,71,b,야구,,,,,,
202675,Stephanie J,girl,88,c,미술,,,,,,
202676,Joseph R,boy,71,a,밴드,,202679,,,yes,
202677,Joseph B,boy,79,f,미술,,202504,,,,
202678,Brandon J,boy,81,a,코딩,,,,,yes,
202679,Michael M,boy,73,d,미술,,,,yes,,
202680,Andrew M,boy,87,d,연극,,,,,,
202681,Andrew W,boy,78,a,코딩,,202671,,,,
202682,Joseph B,boy,74,d,독서,,,,,yes,
202683,William T,boy,70,c,밴드,,,,yes,,
202684,David S,boy,80,e,밴드,,,yes,,yes,yes
202685,Stephanie J,girl,85,d,독서,,,,,,
202686,David D,boy,71,a,축구,,,,,,
202687,Michael H,boy,76,e,댄스,,,yes,,,yes
202688,Matthew J,boy,91,f,축구,,,,,,yes
202689,David S,boy,91,d,연극,,,,,yes,yes
202690,Michael J,boy,90,c,축구,202674,202695,,,,
202691,Joseph L,boy,64,f,미술,,,yes,,,
202692,Robert J,boy,77,c,밴드,,,,,,
202693,Jennifer M,girl,64,a,연극,,,,,,
202694,James B,boy,92,d,연극,,,yes,,,
202695,Elizabeth T,girl,74,e,밴드,202700,,,,,
202696,Michael M,boy,69,a,미술,,,,,,
202697,Matthew J,boy,88,e,연극,,,,,,
202698,Justin W,boy,99,b,미술,,,,,,
202699,Sarah G,girl,76,b,노래,,202644,,,,yes
202700,Ryan R,boy,66,b,코딩,202695,202693,yes,,,
